Contrast2,homogeneity2,energy2 ,correlation2 ,contrast3 ,homogeneity3 ,energy3 ,correlation3 ,z1_ent ,z1_mean ,z1_median ,z1_stand_dev ,bases_cnt.A ,bases_cnt.C ,bases_cnt.G ,bases_cnt.T,CAG_count,Class_label
0,1,1,NaN,0,1,1,NaN,0,8.034037559,7.8,2.127830409,101,110,126,90,20,1
0,1,1,NaN,0,1,1,NaN,0,7.842076503,7.8,2.006340649,98,71,104,94,11,1
0,1,1,NaN,0,1,1,NaN,0,7.99500998,7.8,2.16075798,97,139,143,123,22,1
0,1,1,NaN,0,1,1,NaN,0,7.742023346,7.8,1.841689841,471,245,341,486,27,1
0,1,1,NaN,0,1,1,NaN,0,7.744109589,7.8,1.841507884,354,180,240,322,24,1
0.390438247,0.993027888,0.949230965,0.814108498,0,1,0.957177298,1,0.151927754,7.630348259,7.8,2.152748724,251,207,159,371,7,1
0,1,1,NaN,0,1,1,NaN,0,7.971143911,7.8,2.08845418,269,390,293,404,29,1
0,1,1,NaN,0,1,1,NaN,0,7.766557377,7.8,1.917689569,142,122,130,217,8,1
0,1,1,NaN,0,1,1,NaN,0,8.663627639,8.6,2.451194939,769,803,777,778,10,1
0,1,1,NaN,0,1,1,NaN,0,8.671866137,8.6,2.453979782,869,903,877,878,10,1
0,1,1,NaN,0,1,1,NaN,0,8.678425879,8.6,2.456174991,969,1003,977,978,10,1
0,1,1,NaN,0,1,1,NaN,0,8.639050036,8.6,2.448162933,682,671,727,679,12,1
0,1,1,NaN,0,1,1,NaN,0,8.651361621,8.6,2.451752306,782,771,827,779,12,1
0,1,1,NaN,0,1,1,NaN,0,8.660905003,8.6,2.454488289,882,871,927,879,12,1
0,1,1,NaN,0,1,1,NaN,0,8.668519454,8.6,2.456642346,982,971,1027,979,12,1
0,1,1,NaN,0,1,1,NaN,0,8.526332288,8.6,2.086056441,80,80,80,80,60,2
0,1,1,NaN,0,1,1,NaN,0,8.58513302,8.6,2.151622834,160,160,160,160,100,2
0,1,1,NaN,0,1,1,NaN,0,8.487029289,8.6,2.039988662,60,60,60,60,50,2
0,1,1,NaN,0,1,1,NaN,0,8.64590985,8.6,2.235165695,150,150,150,150,70,2
0,1,1,NaN,0,1,1,NaN,0,8.679447323,8.6,2.279267708,145,145,145,145,55,2
0,1,1,NaN,0,1,1,NaN,0,8.645454545,8.6,2.230568931,190,190,190,190,90,2
0,1,1,NaN,0,1,1,NaN,0,7.953402586,7.8,2.119396367,2282,2530,2430,2193,350,2
0,1,1,NaN,0,1,1,NaN,0,7.953402586,7.8,2.119396367,2282,2530,2430,2193,350,2
0.262734584,0.995308311,0.983518358,0.519043052,0,1,0.988854239,1,0.049978473,8.418518519,7.8,2.3658887,752,1403,1132,806,139,2
